CRF_NAME,SECTION_NAME,SECTION_INDEX,OBSERVATION_CODE,OBS_INDEX,AFD_PATTERN_KEY,IS_CHECKBOX,ACTIVE
DEEP_TEST_CRF,SEVEN_LAYER_SECTION,0,DEEP_VALUE_TEST,0,a[*].b[0].c[0].d[0].e[0].f[0].g[0].myValue,N,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUES_FLAG,0,imageQualityAssessments.imageQualityAssessmentList[*].hasIssues,N,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUES_QUESTION,1,imageQualityAssessments.imageQualityAssessmentList[*].issues[0].question,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_ISSUES_VALUE,1,imageQualityAssessments.imageQualityAssessmentList[*].issues[0].value,Y,Y
PRIMARY_IRECIST,IMAGE_QUALITY,0,IMAGE_QUALITY_COMMENTS,2,imageQualityAssessments.imageQualityAssessmentList[*].imageQualityComments,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,LESION_ID,0,measuredNonNodalLesions[*].name,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,LDIAM,1,measuredNonNodalLesions[*].overlay.length,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,MEASUREMENT_UNITS,2,measuredNonNodalLesions[*].overlay.units,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,OVERLAY_IMAGE_RECID,3,measuredNonNodalLesions[*].overlay.imageRecID,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,OVERLAY_IMAGE_SERIES,4,measuredNonNodalLesions[*].overlay.imageTitle,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,OVERLAY_IMAGE_SLICE_NO,5,measuredNonNodalLesions[*].overlay.sliceNumber,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,LESION_LOCATION,6,measuredNonNodalLesions[*].location,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,LESION_LOCATION_DESCRIPTION,7,measuredNonNodalLesions[*].locationDescription,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,REASON_NOT_MEASURED,8,measuredNonNodalLesions[*].reasonNoOverlay,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,CORRESPONDING_IMAGE_RECID,9,measuredNonNodalLesions[*].imageRecId,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,CORRESPONDING_IMAGE_SERIES,10,measuredNonNodalLesions[*].imageName,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,REASON_NOT_EVALUABLE_QUESTION,11,measuredNonNodalLesions[*].lesionReasonNotEvaluableIssues[0].question,Y,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,REASON_NOT_EVALUABLE_VALUE,11,measuredNonNodalLesions[*].lesionReasonNotEvaluableIssues[0].value,Y,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,REASON_NOT_EVALUABLE_COMMENT,12,measuredNonNodalLesions[*].unknownComments,N,Y
PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,1,LESION_COMMENTS,13,measuredNonNodalLesions[*].comments,N,Y
PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,2,LESION_ID,0,measuredNodalLesions[*].name,N,Y
PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,2,LPERP,1,measuredNodalLesions[*].overlay.orthogonalLength,N,Y
PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,2,MEASUREMENT_UNITS,2,measuredNodalLesions[*].overlay.units,N,Y
PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,2,OVERLAY_IMAGE_RECID,3,measuredNodalLesions[*].overlay.imageRecID,N,Y
PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,2,OVERLAY_IMAGE_SERIES,4,measuredNodalLesions[*].overlay.imageTitle,N,Y
PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,2,OVERLAY_IMAGE_SLICE_NO,5,measuredNodalLesions[*].overlay.sliceNumber,N,Y
PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,2,LESION_LOCATION,6,measuredNodalLesions[*].location,N,Y
